2480000,8.33347,7.32818,7.5272
2490000,8.33605,7.28162,7.5232
2500000,8.35076,7.29382,7.52159
2510000,8.35935,7.26477,7.53976
2520000,8.38902,7.26159,7.55356
2530000,8.42064,7.29635,7.58383
2540000,8.46239,7.2822,7.58819
2550000,8.47647,7.2732,7.60765
2560000,8.48586,7.27002,7.60008
2570000,8.49448,7.26545,7.57916
2580000,8.49051,7.28656,7.58389
2590000,8.51653,7.26203,7.5738
2600000,8.5166,7.22801,7.59007
2610000,8.52575,7.22618,7.6262
2620000,8.53689,7.26665,7.64783
2630000,8.54395,7.28372,7.65514
2640000,8.55716,7.28093,7.66893
2650000,8.56546,7.26843,7.70043
2660000,8.57951,7.27942,7.72308
2670000,8.59469,7.29253,7.69719
2680000,8.62449,7.2738,7.709
2690000,8.62742,7.23551,7.68677
2700000,8.6554,7.24792,7.67044
2710000,8.65887,7.23801,7.71403
2720000,8.65138,7.26559,7.69336
2730000,8.66896,7.28208,7.69416
2740000,8.6712,7.29264,7.72941
2750000,8.70181,7.2768,7.75104
2760000,8.72833,7.27365,7.74958
2770000,8.74692,7.29152,7.75453
2780000,8.75387,7.30376,7.77037
2790000,8.76846,7.3345,7.81563
2800000,8.77526,7.32544,7.83394
2810000,8.81273,7.34484,7.82355
2820000,8.80285,7.38178,7.8238
2830000,8.80418,7.40582,7.8209
2840000,8.79176,7.4107,7.82773
2850000,8.80694,7.43591,7.85298
2860000,8.81021,7.39113,7.85014
2870000,8.84686,7.34671,7.85043
2880000,8.87759,7.32356,7.86246
2890000,8.87877,7.29198,7.85353
2900000,8.84524,7.25492,7.84171
2910000,8.87226,7.22925,7.89902
2920000,8.87788,7.23816,7.92403
2930000,8.92905,7.2188,7.94089
2940000,8.97558,7.23237,7.96495
2950000,8.98992,7.2334,7.94994
2960000,8.96717,7.27532,7.9418
2970000,8.97308,7.29024,7.99832
2980000,8.96791,7.26482,7.98432
2990000,8.98937,7.27528,7.98657
3000000,9.00508,7.27261,7.96724
3010000,8.99427,7.29432,7.99542
3020000,8.99187,7.30413,7.97026
3030000,9.01215,7.32972,7.97293
3040000,9.00347,7.31499,7.97404
3050000,9.00088,7.29623,7.94504
3060000,9.02872,7.29789,7.96745
3070000,9.10959,7.3028,8.00549
3080000,9.13665,7.29716,8.05344
3090000,9.17885,7.31488,8.06447
3100000,9.18403,7.29131,8.0786
3110000,9.17742,7.25948,8.05685
3120000,9.19338,7.25474,8.0189
